search_term,product_name,unit_size,price,store,date,clean_price,normalized_qty,unit_type,unit_uncertain,price_per_unit,brand_type,category,scraper_error,name_match_uncertain
Gala Apples,"Walmart Fresh Gala Apple, Each",Each,$0.73,Walmart,2026-02-20,0.71,1.0,count,False,0.71,National,Produce,False,False
Ground Beef 80/20,"Walmart 80% Lean / 20% Fat Ground Beef Chuck, 1 lb Roll, Fresh, All Natural*",All Natural*,$7.23,Walmart,2026-02-20,7.19,16,oz,False,0.449375,National,Meat,False,False
Iceberg Lettuce,"Walmart Marketside Fresh Shredded Iceberg Lettuce, 8 oz, Bag",Bag,$1.97,Walmart,2026-02-20,1.97,1.0,count,False,1.97,National,Produce,False,False
Large Eggs (12 count),"Walmart Great Value Extra Large White Eggs, 12 Count",12 Count,$2.22,Walmart,2026-02-20,2.26,12.0,count,False,0.188333,National,Dairy,False,False
Salted Butter,"Walmart Land O Lakes Salted Butter in Half Sticks, 4 Half Sticks, 8 oz Pack",8 oz Pack,$2.86,Walmart,2026-02-20,2.84,8.0,count,False,0.355,National,Dairy,False,False
Spaghetti Pasta,"Walmart Great Value Spaghetti, 16 oz",16 oz,$0.98,Walmart,2026-02-20,1.0,16.0,oz,False,0.0625,National,Pantry,False,False
Tomato Sauce,"Walmart Great Value Tomato Sauce, 8 oz Can",8 oz Can,$0.48,Walmart,2026-02-20,0.44,8.0,oz,False,0.055,National,Pantry,False,False
White Bread,"Walmart Great Value White Sandwich Bread, 20 oz",20 oz,$1.54,Walmart,2026-02-20,1.56,20.0,oz,False,0.078,National,Pantry,False,False
Whole Milk,"Walmart Great Value Whole Vitamin D Milk, Gallon, 128 fl oz",128 fl oz,$3.38,Walmart,2026-02-20,3.36,128.0,oz,False,0.02625,National,Dairy,False,False
Bananas,"Bananas, per lb",avg. 0.33 lb/piece  ($0.49/lb),$0.16,Aldi,2026-02-21,0.21,5.28,oz,False,0.039773,National,Produce,False,False
Chicken Breast,"Kirkwood Split Chicken Breasts, per lb",avg. 2.7 lb/package  ($1.99/lb),$5.37,Aldi,2026-02-21,5.39,43.2,oz,False,0.124769,National,Meat,False,False
Dish Soap,"Power Force Original Dishwashing Liquid Detergent, 24 fl oz",24 fl oz,$2.35,Aldi,2026-02-21,2.35,24.0,oz,False,0.097917,National,Household,False,False
Gala Apples,"Gala Apples, 3 lb",3 lb,$2.19,Aldi,2026-02-21,2.24,48.0,oz,False,0.046667,National,Produce,False,False
Ground Beef 80/20,"Fresh  80% Lean 20% Fat Ground Beef Patties, 4 count",avg. 1.33 lb/package  ($5.59/lb),$7.43,Aldi,2026-02-21,7.46,21.28,oz,False,0.350564,National,Meat,False,False
Iceberg Lettuce,"Iceberg Lettuce, each",1 each,$2.55,Aldi,2026-02-21,2.52,1.0,count,False,2.52,National,Produce,False,False
Large Eggs (12 count),"Goldhen Free  Range Large Brown Grade A Eggs, 12 count",12 ct,$4.25,Aldi,2026-02-21,4.23,12.0,count,False,0.3525,Private,Dairy,False,False
Salted Butter,"Countryside Creamery Salted Butter Sticks, 1 lb",16 oz,$3.65,Aldi,2026-02-21,3.61,16.0,oz,False,0.225625,National,Dairy,False,False
Spaghetti Pasta,"Bon Italia Spaghetti Rings with Meatballs, 15 oz Can",15 oz,$1.09,Aldi,2026-02-21,1.08,15.0,oz,False,0.072,National,Pantry,False,False
Tomato Sauce,"Happy Harvest Tomato Sauce, 8 oz",8 oz,$0.55,Aldi,2026-02-21,0.53,8.0,oz,False,0.06625,National,Pantry,False,False
White Bread,"L'oven Fresh White Bread,  20 oz",20 oz,$1.55,Aldi,2026-02-21,1.6,20.0,oz,False,0.08,National,Pantry,False,False
Whole Milk,"Friendly Farms Whole Milk, 0.5 gal",0.5 gal,$2.25,Aldi,2026-02-21,2.22,64.0,oz,False,0.034688,Private,Dairy,False,False
Bananas,Publix Green Banana,About 0.4 lb each,Current price: $0.28 each (estimated),Publix,2026-02-21,0.29,6.4,oz,False,0.045312,Private,Produce,False,False
Chicken Breast,Publix Just Bare Brand Boneless Skinless Chicken Breast Fillets,1.13 lb,Current price: $9.43,Publix,2026-02-21,9.46,18.08,oz,False,0.52323,National,Meat,False,False
Dish Soap,"Publix Dawn Ultra Dishwashing Liquid Dish Soap, Original Scent",7.5 fl oz,Current price: $2.09,Publix,2026-02-21,2.12,7.5,oz,False,0.282667,Private,Household,False,False
Gala Apples,Publix Gala Apple,About 0.54 lb each,Current price: $1.59 each (estimated),Publix,2026-02-21,1.54,8.64,oz,False,0.178241,Private,Produce,False,False
Ground Beef 80/20,Publix Publix Market Ground Beef,About 1.15 lb / package,Current price: $8.91 per package (estimated),Publix,2026-02-21,8.89,18.4,oz,False,0.483152,Private,Meat,False,False
Iceberg Lettuce,Publix Iceberg Lettuce,,Current price: $2.97,Publix,2026-02-21,3.02,16,oz,True,0.18875,Private,Produce,False,False
Large Eggs (12 count),"Publix Publix Eggs, Large",12 ct,Current price: $2.43,Publix,2026-02-21,2.43,12.0,count,False,0.2025,Private,Dairy,False,False
Salted Butter,"Publix Publix Butter, Salted, Sweet Cream",8 oz,Current price: $2.43,Publix,2026-02-21,2.45,8.0,oz,False,0.30625,Private,Dairy,False,False
Spaghetti Pasta,"Publix Publix Spaghetti, Thin",16 oz,Current price: $1.37,Publix,2026-02-21,1.35,16.0,oz,False,0.084375,Private,Pantry,False,False
Tomato Sauce,Publix Contadina Tomato Sauce,8 oz,Current price: $1.09,Publix,2026-02-21,1.25,8.0,oz,False,0.15625,National,Pantry,False,False
White Bread,"Publix Publix Bread, Enriched, Large White",20 oz,Current price: $2.65,Publix,2026-02-21,2.7,20.0,oz,False,0.135,Private,Pantry,False,False
Whole Milk,"Publix Publix Milk, Whole",,Current price: $2.43,Publix,2026-02-21,2.39,64,oz,True,0.037344,Private,Dairy,False,False
Bananas,"Walmart Fresh Banana, Each",Each,$0.20,Walmart,2026-02-21,0.24,1.0,count,False,0.24,National,Produce,False,False
Chicken Breast,"Walmart Sanderson Farms Fresh Boneless Skinless Chicken Breast Fillets, 25g Protein, 4oz 112g, 1.6 - 3.05lb",1.6 - 3.05lb,$10.67,Walmart,2026-02-21,10.63,25.6,oz,False,0.415234,National,Meat,False,False
Dish Soap,"Walmart Dawn Ultra Liquid Dish Soap, Dishwashing Liquid, Grease Removal, Original, 5.8oz",5.8oz,$0.97,Walmart,2026-02-21,0.98,5.8,oz,False,0.168966,National,Household,False,False
Gala Apples,"Walmart Fresh Gala Apple, Each",Each,$0.73,Walmart,2026-02-21,0.78,1.0,count,False,0.78,National,Produce,False,False
Ground Beef 80/20,"Walmart 80% Lean / 20% Fat Ground Beef Chuck, 1 lb Roll, Fresh, All Natural*",All Natural*,$7.23,Walmart,2026-02-21,7.26,16,oz,False,0.45375,National,Meat,False,False
Iceberg Lettuce,"Walmart Marketside Fresh Shredded Iceberg Lettuce, 8 oz, Bag",Bag,$1.97,Walmart,2026-02-21,2.01,1.0,count,False,2.01,National,Produce,False,False
Large Eggs (12 count),"Walmart Great Value Extra Large White Eggs, 12 Count",12 Count,$2.22,Walmart,2026-02-21,2.21,12.0,count,False,0.184167,National,Dairy,False,False
Salted Butter,"Walmart Land O Lakes Salted Butter in Half Sticks, 4 Half Sticks, 8 oz Pack",8 oz Pack,$2.86,Walmart,2026-02-21,2.85,8.0,count,False,0.35625,National,Dairy,False,False
Spaghetti Pasta,"Walmart Great Value Spaghetti, 16 oz",16 oz,$0.98,Walmart,2026-02-21,0.95,16.0,oz,False,0.059375,National,Pantry,False,False
Tomato Sauce,"Walmart Great Value Tomato Sauce, 8 oz Can",8 oz Can,$0.48,Walmart,2026-02-21,0.51,8.0,oz,False,0.06375,National,Pantry,False,False
White Bread,"Walmart Great Value White Sandwich Bread, 20 oz",20 oz,$1.54,Walmart,2026-02-21,1.54,20.0,oz,False,0.077,National,Pantry,False,False
Whole Milk,"Walmart Great Value Whole Vitamin D Milk, Gallon, 128 fl oz",128 fl oz,$3.38,Walmart,2026-02-21,3.41,128.0,oz,False,0.026641,National,Dairy,False,False
Bananas,"Bananas, per lb",avg. 0.33 lb/piece  ($0.49/lb),$0.16,Aldi,2026-02-22,0.2,5.28,oz,False,0.037879,National,Produce,False,False
Chicken Breast,"Kirkwood Split Chicken Breasts, per lb",avg. 2.7 lb/package  ($1.99/lb),$5.37,Aldi,2026-02-22,5.34,43.2,oz,False,0.123611,National,Meat,False,False
Dish Soap,"Power Force Original Dishwashing Liquid Detergent, 24 fl oz",24 fl oz,$2.35,Aldi,2026-02-22,2.34,24.0,oz,False,0.0975,National,Household,False,False
Gala Apples,"Gala Apples, 3 lb",3 lb,$2.19,Aldi,2026-02-22,2.27,48.0,oz,False,0.047292,National,Produce,False,False
Ground Beef 80/20,"Fresh  80% Lean 20% Fat Ground Beef Patties, 4 count",avg. 1.33 lb/package  ($5.59/lb),$7.43,Aldi,2026-02-22,7.4,21.28,oz,False,0.347744,National,Meat,False,False
Iceberg Lettuce,"Iceberg Lettuce, each",1 each,$2.55,Aldi,2026-02-22,2.5,1.0,count,False,2.5,National,Produce,False,False
Large Eggs (12 count),"Goldhen Free  Range Large Brown Grade A Eggs, 12 count",12 ct,$4.25,Aldi,2026-02-22,4.26,12.0,count,False,0.355,Private,Dairy,False,False
Salted Butter,"Countryside Creamery Salted Butter Sticks, 1 lb",16 oz,$3.65,Aldi,2026-02-22,3.6,16.0,oz,False,0.225,National,Dairy,False,False
Spaghetti Pasta,"Bon Italia Spaghetti Rings with Meatballs, 15 oz Can",15 oz,$1.09,Aldi,2026-02-22,1.04,15.0,oz,False,0.069333,National,Pantry,False,False
Tomato Sauce,"Happy Harvest Tomato Sauce, 8 oz",8 oz,$0.55,Aldi,2026-02-22,0.58,8.0,oz,False,0.0725,National,Pantry,False,False
White Bread,"L'oven Fresh White Bread,  20 oz",20 oz,$1.55,Aldi,2026-02-22,1.6,20.0,oz,False,0.08,National,Pantry,False,False
Whole Milk,"Friendly Farms Whole Milk, 0.5 gal",0.5 gal,$2.25,Aldi,2026-02-22,2.26,64.0,oz,False,0.035312,Private,Dairy,False,False
Bananas,Publix Green Banana,About 0.4 lb each,Current price: $0.28 each (estimated),Publix,2026-02-22,0.31,6.4,oz,False,0.048437,Private,Produce,False,False
Chicken Breast,Publix Just Bare Brand Boneless Skinless Chicken Breast Fillets,1.13 lb,Current price: $9.43,Publix,2026-02-22,9.39,18.08,oz,False,0.519358,National,Meat,False,False
Dish Soap,"Publix Dawn Ultra Dishwashing Liquid Dish Soap, Original Scent",7.5 fl oz,Current price: $2.09,Publix,2026-02-22,2.1,7.5,oz,False,0.28,Private,Household,False,False
Gala Apples,Publix Gala Apple,About 0.54 lb each,Current price: $1.59 each (estimated),Publix,2026-02-22,1.63,8.64,oz,False,0.188657,Private,Produce,False,False
Ground Beef 80/20,Publix Publix Market Ground Beef,About 1.15 lb / package,Current price: $8.91 per package (estimated),Publix,2026-02-22,8.86,18.4,oz,False,0.481522,Private,Meat,False,False
Iceberg Lettuce,Publix Iceberg Lettuce,,Current price: $2.97,Publix,2026-02-22,2.97,16,oz,True,0.185625,Private,Produce,False,False
Large Eggs (12 count),"Publix Publix Eggs, Large",12 ct,Current price: $2.43,Publix,2026-02-22,2.41,12.0,count,False,0.200833,Private,Dairy,False,False
Salted Butter,"Publix Publix Butter, Salted, Sweet Cream",8 oz,Current price: $2.43,Publix,2026-02-22,2.43,8.0,oz,False,0.30375,Private,Dairy,False,False
Spaghetti Pasta,"Publix Publix Spaghetti, Thin",16 oz,Current price: $1.37,Publix,2026-02-22,1.35,16.0,oz,False,0.084375,Private,Pantry,False,False
Tomato Sauce,Publix Contadina Tomato Sauce,8 oz,Current price: $1.09,Publix,2026-02-22,1.28,8.0,oz,False,0.16,National,Pantry,False,False
White Bread,"Publix Publix Bread, Enriched, Large White",20 oz,Current price: $2.65,Publix,2026-02-22,2.61,20.0,oz,False,0.1305,Private,Pantry,False,False
Whole Milk,"Publix Publix Milk, Whole",,Current price: $2.43,Publix,2026-02-22,2.45,64,oz,True,0.038281,Private,Dairy,False,False
Bananas,"Walmart Fresh Banana, Each",Each,$0.20,Walmart,2026-02-22,0.21,1.0,count,False,0.21,National,Produce,False,False
Chicken Breast,"Walmart Sanderson Farms Fresh Boneless Skinless Chicken Breast Fillets, 25g Protein, 4oz 112g, 1.6 - 3.05lb",1.6 - 3.05lb,$10.67,Walmart,2026-02-22,10.7,25.6,oz,False,0.417969,National,Meat,False,False
Dish Soap,"Walmart Dawn Ultra Liquid Dish Soap, Dishwashing Liquid, Grease Removal, Original, 5.8oz",5.8oz,$0.97,Walmart,2026-02-22,0.99,5.8,oz,False,0.17069,National,Household,False,False
Gala Apples,"Walmart Fresh Gala Apple, Each",Each,$0.73,Walmart,2026-02-22,0.75,1.0,count,False,0.75,National,Produce,False,False
Ground Beef 80/20,"Walmart 80% Lean / 20% Fat Ground Beef Chuck, 1 lb Roll, Fresh, All Natural*",All Natural*,$7.23,Walmart,2026-02-22,7.27,16,oz,False,0.454375,National,Meat,False,False
Iceberg Lettuce,"Walmart Marketside Fresh Shredded Iceberg Lettuce, 8 oz, Bag",Bag,$1.97,Walmart,2026-02-22,2.0,1.0,count,False,2.0,National,Produce,False,False
Large Eggs (12 count),"Walmart Great Value Extra Large White Eggs, 12 Count",12 Count,$2.22,Walmart,2026-02-22,2.22,12.0,count,False,0.185,National,Dairy,False,False
Salted Butter,"Walmart Land O Lakes Salted Butter in Half Sticks, 4 Half Sticks, 8 oz Pack",8 oz Pack,$2.86,Walmart,2026-02-22,2.82,8.0,count,False,0.3525,National,Dairy,False,False
Spaghetti Pasta,"Walmart Great Value Spaghetti, 16 oz",16 oz,$0.98,Walmart,2026-02-22,0.98,16.0,oz,False,0.06125,National,Pantry,False,False
Tomato Sauce,"Walmart Great Value Tomato Sauce, 8 oz Can",8 oz Can,$0.48,Walmart,2026-02-22,0.47,8.0,oz,False,0.05875,National,Pantry,False,False
White Bread,"Walmart Great Value White Sandwich Bread, 20 oz",20 oz,$1.54,Walmart,2026-02-22,1.57,20.0,oz,False,0.0785,National,Pantry,False,False
Whole Milk,"Walmart Great Value Whole Vitamin D Milk, Gallon, 128 fl oz",128 fl oz,$3.38,Walmart,2026-02-22,3.37,128.0,oz,False,0.026328,National,Dairy,False,False
Bananas,"Bananas, per lb",avg. 0.33 lb/piece  ($0.49/lb),$0.16,Aldi,2026-02-23,0.14,5.28,oz,False,0.026515,National,Produce,False,False
Chicken Breast,"Kirkwood Split Chicken Breasts, per lb",avg. 2.7 lb/package  ($1.99/lb),$5.37,Aldi,2026-02-23,5.33,43.2,oz,False,0.12338,National,Meat,False,False
Dish Soap,"Power Force Original Dishwashing Liquid Detergent, 24 fl oz",24 fl oz,$2.35,Aldi,2026-02-23,2.36,24.0,oz,False,0.098333,National,Household,False,False
Gala Apples,"Gala Apples, 3 lb",3 lb,$2.19,Aldi,2026-02-23,2.26,48.0,oz,False,0.047083,National,Produce,False,False
Ground Beef 80/20,"Fresh  80% Lean 20% Fat Ground Beef Patties, 4 count",avg. 1.33 lb/package  ($5.59/lb),$7.43,Aldi,2026-02-23,7.43,21.28,oz,False,0.349154,National,Meat,False,False
Iceberg Lettuce,"Iceberg Lettuce, each",1 each,$2.55,Aldi,2026-02-23,2.52,1.0,count,False,2.52,National,Produce,False,False
Large Eggs (12 count),"Goldhen Free  Range Large Brown Grade A Eggs, 12 count",12 ct,$4.25,Aldi,2026-02-23,4.24,12.0,count,False,0.353333,Private,Dairy,False,False
Salted Butter,"Countryside Creamery Salted Butter Sticks, 1 lb",16 oz,$3.65,Aldi,2026-02-23,3.62,16.0,oz,False,0.22625,National,Dairy,False,False
Spaghetti Pasta,"Bon Italia Spaghetti Rings with Meatballs, 15 oz Can",15 oz,$1.09,Aldi,2026-02-23,1.05,15.0,oz,False,0.07,National,Pantry,False,False
Tomato Sauce,"Happy Harvest Tomato Sauce, 8 oz",8 oz,$0.55,Aldi,2026-02-23,0.51,8.0,oz,False,0.06375,National,Pantry,False,False
White Bread,"L'oven Fresh White Bread,  20 oz",20 oz,$1.55,Aldi,2026-02-23,1.6,20.0,oz,False,0.08,National,Pantry,False,False
Whole Milk,"Friendly Farms Whole Milk, 0.5 gal",0.5 gal,$2.25,Aldi,2026-02-23,2.28,64.0,oz,False,0.035625,Private,Dairy,False,False
Bananas,Publix Green Banana,About 0.4 lb each,Current price: $0.28 each (estimated),Publix,2026-02-23,0.25,6.4,oz,False,0.039062,Private,Produce,False,False
Chicken Breast,Publix Just Bare Brand Boneless Skinless Chicken Breast Fillets,1.13 lb,Current price: $9.43,Publix,2026-02-23,9.42,18.08,oz,False,0.521018,National,Meat,False,False
Dish Soap,"Publix Dawn Ultra Dishwashing Liquid Dish Soap, Original Scent",7.5 fl oz,Current price: $2.09,Publix,2026-02-23,2.11,7.5,oz,False,0.281333,Private,Household,False,False
Gala Apples,Publix Gala Apple,About 0.54 lb each,Current price: $1.59 each (estimated),Publix,2026-02-23,1.55,8.64,oz,False,0.179398,Private,Produce,False,False
Ground Beef 80/20,Publix Publix Market Ground Beef,About 1.15 lb / package,Current price: $8.91 per package (estimated),Publix,2026-02-23,8.94,18.4,oz,False,0.48587,Private,Meat,False,False
Iceberg Lettuce,Publix Iceberg Lettuce,,Current price: $2.97,Publix,2026-02-23,2.95,16,oz,True,0.184375,Private,Produce,False,False
Large Eggs (12 count),"Publix Publix Eggs, Large",12 ct,Current price: $2.43,Publix,2026-02-23,2.46,12.0,count,False,0.205,Private,Dairy,False,False
Salted Butter,"Publix Publix Butter, Salted, Sweet Cream",8 oz,Current price: $2.43,Publix,2026-02-23,2.42,8.0,oz,False,0.3025,Private,Dairy,False,False
Spaghetti Pasta,"Publix Publix Spaghetti, Thin",16 oz,Current price: $1.37,Publix,2026-02-23,1.35,16.0,oz,False,0.084375,Private,Pantry,False,False
Tomato Sauce,Publix Contadina Tomato Sauce,8 oz,Current price: $1.09,Publix,2026-02-23,1.36,8.0,oz,False,0.17,National,Pantry,False,False
White Bread,"Publix Publix Bread, Enriched, Large White",20 oz,Current price: $2.65,Publix,2026-02-23,2.68,20.0,oz,False,0.134,Private,Pantry,False,False
Whole Milk,"Publix Publix Milk, Whole",,Current price: $2.43,Publix,2026-02-23,2.44,64,oz,True,0.038125,Private,Dairy,False,False
Bananas,"Walmart Fresh Banana, Each",Each,$0.20,Walmart,2026-02-23,0.21,1.0,count,False,0.21,National,Produce,False,False
Chicken Breast,"Walmart Sanderson Farms Fresh Boneless Skinless Chicken Breast Fillets, 25g Protein, 4oz 112g, 1.6 - 3.05lb",1.6 - 3.05lb,$10.67,Walmart,2026-02-23,10.67,25.6,oz,False,0.416797,National,Meat,False,False
Dish Soap,"Walmart Dawn Ultra Liquid Dish Soap, Dishwashing Liquid, Grease Removal, Original, 5.8oz",5.8oz,$0.97,Walmart,2026-02-23,0.95,5.8,oz,False,0.163793,National,Household,False,False
Gala Apples,"Walmart Fresh Gala Apple, Each",Each,$0.73,Walmart,2026-02-23,0.71,1.0,count,False,0.71,National,Produce,False,False
Ground Beef 80/20,"Walmart 80% Lean / 20% Fat Ground Beef Chuck, 1 lb Roll, Fresh, All Natural*",All Natural*,$7.23,Walmart,2026-02-23,7.21,16,oz,False,0.450625,National,Meat,False,False
Iceberg Lettuce,"Walmart Marketside Fresh Shredded Iceberg Lettuce, 8 oz, Bag",Bag,$1.97,Walmart,2026-02-23,1.95,1.0,count,False,1.95,National,Produce,False,False
Large Eggs (12 count),"Walmart Great Value Extra Large White Eggs, 12 Count",12 Count,$2.22,Walmart,2026-02-23,2.22,12.0,count,False,0.185,National,Dairy,False,False
Salted Butter,"Walmart Land O Lakes Salted Butter in Half Sticks, 4 Half Sticks, 8 oz Pack",8 oz Pack,$2.86,Walmart,2026-02-23,2.86,8.0,count,False,0.3575,National,Dairy,False,False
Spaghetti Pasta,"Walmart Great Value Spaghetti, 16 oz",16 oz,$0.98,Walmart,2026-02-23,0.95,16.0,oz,False,0.059375,National,Pantry,False,False
Tomato Sauce,"Walmart Great Value Tomato Sauce, 8 oz Can",8 oz Can,$0.48,Walmart,2026-02-23,0.51,8.0,oz,False,0.06375,National,Pantry,False,False
White Bread,"Walmart Great Value White Sandwich Bread, 20 oz",20 oz,$1.54,Walmart,2026-02-23,1.54,20.0,oz,False,0.077,National,Pantry,False,False
Whole Milk,"Walmart Great Value Whole Vitamin D Milk, Gallon, 128 fl oz",128 fl oz,$3.38,Walmart,2026-02-23,3.42,128.0,oz,False,0.026719,National,Dairy,False,False
Bananas,"Bananas, per lb",avg. 0.33 lb/piece  ($0.49/lb),$0.16,Aldi,2026-02-24,0.16,5.28,oz,False,0.030303,National,Produce,False,False
Chicken Breast,"Kirkwood Split Chicken Breasts, per lb",avg. 2.7 lb/package  ($1.99/lb),$5.37,Aldi,2026-02-24,5.41,43.2,oz,False,0.125231,National,Meat,False,False
Dish Soap,"Power Force Original Dishwashing Liquid Detergent, 24 fl oz",24 fl oz,$2.35,Aldi,2026-02-24,2.33,24.0,oz,False,0.097083,National,Household,False,False
Gala Apples,"Gala Apples, 3 lb",3 lb,$2.19,Aldi,2026-02-24,2.34,48.0,oz,False,0.04875,National,Produce,False,False
Ground Beef 80/20,"Fresh  80% Lean 20% Fat Ground Beef Patties, 4 count",avg. 1.33 lb/package  ($5.59/lb),$7.43,Aldi,2026-02-24,7.4,21.28,oz,False,0.347744,National,Meat,False,False
Iceberg Lettuce,"Iceberg Lettuce, each",1 each,$2.55,Aldi,2026-02-24,2.51,1.0,count,False,2.51,National,Produce,False,False
Large Eggs (12 count),"Goldhen Free  Range Large Brown Grade A Eggs, 12 count",12 ct,$4.25,Aldi,2026-02-24,4.24,12.0,count,False,0.353333,Private,Dairy,False,False
Salted Butter,"Countryside Creamery Salted Butter Sticks, 1 lb",16 oz,$3.65,Aldi,2026-02-24,3.58,16.0,oz,False,0.22375,National,Dairy,False,False
Spaghetti Pasta,"Bon Italia Spaghetti Rings with Meatballs, 15 oz Can",15 oz,$1.09,Aldi,2026-02-24,1.13,15.0,oz,False,0.075333,National,Pantry,False,False
Tomato Sauce,"Happy Harvest Tomato Sauce, 8 oz",8 oz,$0.55,Aldi,2026-02-24,0.59,8.0,oz,False,0.07375,National,Pantry,False,False
White Bread,"L'oven Fresh White Bread,  20 oz",20 oz,$1.55,Aldi,2026-02-24,1.64,20.0,oz,False,0.082,National,Pantry,False,False
Whole Milk,"Friendly Farms Whole Milk, 0.5 gal",0.5 gal,$2.25,Aldi,2026-02-24,2.2,64.0,oz,False,0.034375,Private,Dairy,False,False
Bananas,Publix Green Banana,About 0.4 lb each,Current price: $0.28 each (estimated),Publix,2026-02-24,0.28,6.4,oz,False,0.04375,Private,Produce,False,False
Chicken Breast,Publix Just Bare Brand Boneless Skinless Chicken Breast Fillets,1.13 lb,Current price: $9.43,Publix,2026-02-24,9.4,18.08,oz,False,0.519912,National,Meat,False,False
Dish Soap,"Publix Dawn Ultra Dishwashing Liquid Dish Soap, Original Scent",7.5 fl oz,Current price: $2.09,Publix,2026-02-24,2.13,7.5,oz,False,0.284,Private,Household,False,False
Gala Apples,Publix Gala Apple,About 0.54 lb each,Current price: $1.59 each (estimated),Publix,2026-02-24,1.61,8.64,oz,False,0.186343,Private,Produce,False,False
Ground Beef 80/20,Publix Publix Market Ground Beef,About 1.15 lb / package,Current price: $8.91 per package (estimated),Publix,2026-02-24,8.91,18.4,oz,False,0.484239,Private,Meat,False,False
Iceberg Lettuce,Publix Iceberg Lettuce,,Current price: $2.97,Publix,2026-02-24,2.93,16,oz,True,0.183125,Private,Produce,False,False
Large Eggs (12 count),"Publix Publix Eggs, Large",12 ct,Current price: $2.43,Publix,2026-02-24,2.46,12.0,count,False,0.205,Private,Dairy,False,False
Salted Butter,"Publix Publix Butter, Salted, Sweet Cream",8 oz,Current price: $2.43,Publix,2026-02-24,2.4,8.0,oz,False,0.3,Private,Dairy,False,False
Spaghetti Pasta,"Publix Publix Spaghetti, Thin",16 oz,Current price: $1.37,Publix,2026-02-24,1.37,16.0,oz,False,0.085625,Private,Pantry,False,False
Tomato Sauce,Publix Contadina Tomato Sauce,8 oz,Current price: $1.09,Publix,2026-02-24,1.38,8.0,oz,False,0.1725,National,Pantry,False,False
White Bread,"Publix Publix Bread, Enriched, Large White",20 oz,Current price: $2.65,Publix,2026-02-24,2.66,20.0,oz,False,0.133,Private,Pantry,False,False
Whole Milk,"Publix Publix Milk, Whole",,Current price: $2.43,Publix,2026-02-24,2.4,64,oz,True,0.0375,Private,Dairy,False,False
Bananas,"Walmart Fresh Banana, Each",Each,$0.20,Walmart,2026-02-24,0.22,1.0,count,False,0.22,National,Produce,False,False
Chicken Breast,"Walmart Sanderson Farms Fresh Boneless Skinless Chicken Breast Fillets, 25g Protein, 4oz 112g, 1.6 - 3.05lb",1.6 - 3.05lb,$10.67,Walmart,2026-02-24,10.69,25.6,oz,False,0.417578,National,Meat,False,False
Dish Soap,"Walmart Dawn Ultra Liquid Dish Soap, Dishwashing Liquid, Grease Removal, Original, 5.8oz",5.8oz,$0.97,Walmart,2026-02-24,0.99,5.8,oz,False,0.17069,National,Household,False,False
Gala Apples,"Walmart Fresh Gala Apple, Each",Each,$0.73,Walmart,2026-02-24,0.74,1.0,count,False,0.74,National,Produce,False,False
Ground Beef 80/20,"Walmart 80% Lean / 20% Fat Ground Beef Chuck, 1 lb Roll, Fresh, All Natural*",All Natural*,$7.23,Walmart,2026-02-24,7.22,16,oz,False,0.45125,National,Meat,False,False
Iceberg Lettuce,"Walmart Marketside Fresh Shredded Iceberg Lettuce, 8 oz, Bag",Bag,$1.97,Walmart,2026-02-24,2.0,1.0,count,False,2.0,National,Produce,False,False
Large Eggs (12 count),"Walmart Great Value Extra Large White Eggs, 12 Count",12 Count,$2.22,Walmart,2026-02-24,2.24,12.0,count,False,0.186667,National,Dairy,False,False
Salted Butter,"Walmart Land O Lakes Salted Butter in Half Sticks, 4 Half Sticks, 8 oz Pack",8 oz Pack,$2.86,Walmart,2026-02-24,2.87,8.0,count,False,0.35875,National,Dairy,False,False
Spaghetti Pasta,"Walmart Great Value Spaghetti, 16 oz",16 oz,$0.98,Walmart,2026-02-24,0.96,16.0,oz,False,0.06,National,Pantry,False,False
Tomato Sauce,"Walmart Great Value Tomato Sauce, 8 oz Can",8 oz Can,$0.48,Walmart,2026-02-24,0.49,8.0,oz,False,0.06125,National,Pantry,False,False
White Bread,"Walmart Great Value White Sandwich Bread, 20 oz",20 oz,$1.54,Walmart,2026-02-24,1.5,20.0,oz,False,0.075,National,Pantry,False,False
Whole Milk,"Walmart Great Value Whole Vitamin D Milk, Gallon, 128 fl oz",128 fl oz,$3.38,Walmart,2026-02-24,3.38,128.0,oz,False,0.026406,National,Dairy,False,False
Bananas,"Bananas, per lb",avg. 0.33 lb/piece  ($0.49/lb),$0.16,Aldi,2026-02-25,0.13,5.28,oz,False,0.024621,National,Produce,False,False
Chicken Breast,"Kirkwood Split Chicken Breasts, per lb",avg. 2.7 lb/package  ($1.99/lb),$5.37,Aldi,2026-02-25,5.34,43.2,oz,False,0.123611,National,Meat,False,False
Dish Soap,"Power Force Original Dishwashing Liquid Detergent, 24 fl oz",24 fl oz,$2.35,Aldi,2026-02-25,2.37,24.0,oz,False,0.09875,National,Household,False,False
Gala Apples,"Gala Apples, 3 lb",3 lb,$2.19,Aldi,2026-02-25,2.31,48.0,oz,False,0.048125,National,Produce,False,False
Ground Beef 80/20,"Fresh  80% Lean 20% Fat Ground Beef Patties, 4 count",avg. 1.33 lb/package  ($5.59/lb),$7.43,Aldi,2026-02-25,7.42,21.28,oz,False,0.348684,National,Meat,False,False
